,baseMean,log2FoldChange,lfcSE,pvalue,padj
BB_0388,55314.2149463865,-0.895517198378437,0.084009982320162,1.46447904814181e-27,1.48812030426757e-24
BB_0444,7175.27171935587,-0.824331531275997,0.0775610501330317,2.3306504373807e-27,1.48812030426757e-24
BB_0389,49866.6225535369,-0.838179074872336,0.079850979546881,8.97312294380851e-27,3.81955933308116e-24
BB_0538,690.468299679873,-1.26284175896963,0.129607620386225,1.25108516968365e-23,3.23208217448045e-21
BB_0685,1405.27817144923,-1.09204767819413,0.111844921541689,1.26549811060315e-23,3.23208217448045e-21
BB_0479,10335.5230266525,-0.709659220682805,0.0743461517408881,1.48594972492637e-22,3.16259633121829e-20
BB_0537,1345.30580149218,-1.07860735405171,0.115330544319361,6.24505757843069e-22,1.13927693252228e-19
BB_U04,581.391924543465,1.56378411976654,0.171102700623909,3.88275420782886e-21,6.19784640424682e-19
BB_A60,859.112119373857,0.959051897549161,0.105089658430122,7.02326706493048e-21,9.96523560212914e-19
BB_S41,445.3104164075,1.49528956684748,0.1706700387061,1.31558805142559e-19,1.68000594167047e-17
BB_0323,15359.6932498108,0.586355538355204,0.0659439291836964,1.52203301680583e-19,1.76694196587368e-17
BB_0215,1118.20602002746,0.927916874641409,0.108651778156434,1.21935559499034e-18,1.29759757900222e-16
BB_H26,131.252997513957,2.39456278239947,0.284557495605587,2.5336352340748e-18,2.48880937993347e-16
BB_0684,3478.95239076137,-0.724385581142992,0.0855210702849209,2.88082278066661e-18,2.62772192207947e-16
BB_0709,1484.41403395528,-0.735880627498983,0.0873202440702779,4.07809929313544e-18,3.4718218648893e-16
BB_0443,4952.60799311196,-0.577988705742067,0.0684563893692208,4.8663806802747e-18,3.88398008044425e-16
BB_0522,3980.03854951186,0.794060982835001,0.0958786005830203,1.32487426818479e-17,9.95214376748219e-16
BB_S33,306.65199733467,1.30283109792563,0.15917286231739,1.8438055996667e-17,1.3080776393191e-15
BB_0240,18585.9115725939,0.972987562440689,0.120575695673179,6.05842294641353e-17,3.86830305128504e-15
BB_0710,2587.26358182167,-0.66818709357471,0.0822639731623424,6.02587159516636e-17,3.86830305128504e-15
BB_0241,40577.397088239,0.958276794666127,0.118837275088851,6.49818685469121e-17,3.9515164825908e-15
BB_0801,30383.8184631565,-0.559845144579872,0.0688292689215439,7.36787899898564e-17,4.2767188553203e-15
BB_0484,12924.8836010064,-0.61227466049663,0.0766141180835356,4.61496726144759e-16,2.5623100838559e-14
BB_0032,907.399456852751,0.853117986724639,0.111034326828527,1.47142440232373e-15,7.8292040073642e-14
BB_N30,321.670912758866,1.09410635446341,0.144668027267029,3.09158270435139e-15,1.57918044538269e-13
BB_0494,2643.28373603274,-0.666156438271547,0.0878975867481706,3.6047642797827e-15,1.77049384049327e-13
BB_0485,5196.54325222204,-0.748819219126024,0.0997517214733084,6.81735720285347e-15,3.22435746223848e-13
BB_I19,303.910332172144,1.34184799982765,0.182123316502386,1.11700321673002e-14,5.09433252772939e-13
BB_0752,2606.47548764136,-0.634926225514183,0.0853431405952473,1.41823772539936e-14,6.24513646667237e-13
BB_0478,12651.2919426122,-0.63741349317156,0.0885715281327617,7.57320941111352e-14,3.22366280599732e-12
BB_0712,7687.72314375525,-0.619322620644713,0.0862623559007369,1.04259900574115e-13,4.29483525913370e-12
BB_0599,3097.0443487821,0.592796099381595,0.0837360947577718,2.31862570244094e-13,9.25276569380336e-12
BB_0613,15967.0610553944,-0.592241720185007,0.0839987843002974,2.57790359357901e-13,9.97570572424362e-12
BB_0713,2272.40741155152,-0.753822601504,0.111121175918436,1.24732021509436e-12,4.6847879843397e-11
BB_0420,6006.05976340634,-0.473322844543129,0.0692427101664489,1.86428952547613e-12,6.80199349723719e-11
BB_0612,7375.3703179844,-0.537232233832799,0.0773043939103527,2.26893271697281e-12,8.048408554373e-11
BB_0243,32708.4971313731,1.09127385026962,0.165309994853438,4.50474295940361e-12,1.55474507004281e-10
BB_0497,2878.70358575954,-0.562059825021715,0.0847986173739259,6.7972880783983e-12,2.28424654634595e-10
BB_E21,1911.85193341615,0.764345618218522,0.118655288342271,1.21816786121884e-11,3.90391690785018e-10
BB_I29,1447.04356253033,0.566139260427596,0.0870064867887467,1.22284006510577e-11,3.90391690785018e-10
BB_0476,33107.8626942365,-0.490862859035601,0.0754896409912741,1.3090270425442e-11,4.07714032519255e-10
BB_0686,1588.68291674837,-0.667801915333853,0.103638984192118,1.5263520788744e-11,4.64083715410144e-10
BB_0838,1213.44936733997,-0.664046631089028,0.103111091034846,1.61425875288077e-11,4.79397308704359e-10
BB_0481,17311.6051361745,-0.559596916074019,0.085201797661918,2.27570323769851e-11,6.60471144213862e-10
BB_0468,1593.04466088796,-0.646467604142099,0.102356616501542,3.71254766216569e-11,1.05353852546346e-09
BB_0295,3105.56515129157,-0.674092347189,0.107303852672307,4.15498401582936e-11,1.14466639524457e-09
BB_0782,408.304961155656,-0.840696027530493,0.134652756307984,4.21294601225489e-11,1.14466639524457e-09
BB_0488,3358.93949000228,-0.640133064147257,0.101673860043866,4.33105183956429e-11,1.1500225879374e-09
BB_0837,6069.33085823805,-0.619104420386112,0.0985511233050685,4.41277265535885e-11,1.1500225879374e-09
BB_0800,12241.4143347307,-0.448581851296845,0.0706845173042889,5.59238553147514e-11,1.42829526473875e-09
BB_0490,7352.73972797287,-0.497856352265731,0.079145706828064,7.34393668664024e-11,1.83886414683129e-09
BB_0483,4239.40224973886,-0.620777148490708,0.0994843470968614,7.7130431979821e-11,1.89414541611984e-09
BB_0390,4529.09918232976,-0.606172295563271,0.0981302669819073,9.67147894385502e-11,2.33027898326469e-09
BB_K23,229.872953368161,1.21742134229954,0.202539784639365,1.22693552468686e-10,2.90147530560209e-09
BB_0495,6710.17793938871,-0.517670654719242,0.0856049176034906,1.47017527659293e-10,3.41347968765305e-09
BB_0090,3105.51234344009,-0.584640230881395,0.0963672131399248,1.9370478300115e-10,4.41716085522265e-09
BB_0472,1673.53162912381,-0.497457672749478,0.0817123733279318,2.20167968377341e-10,4.93253501083972e-09
BB_0340,780.157452177573,-0.697445441322991,0.116765440955894,2.8553956035852e-10,6.28679342375569e-09
BB_0130,1052.87516317216,-0.642370278975773,0.108197976790626,3.84218093085198e-10,8.31604245542031e-09
BB_0781,5597.95055434757,-0.505177741487977,0.0842031862514622,4.33965299899858e-10,9.23622813286864e-09
