,baseMean,log2FoldChange,lfcSE,pvalue,padj
BB_0241,40577.397088239,0.754832470443338,0.120045123928194,2.26534362899801e-11,2.5121438620953e-08
BB_0658,2248.75537158265,-0.702953950479398,0.113746216809122,4.21147336478676e-11,2.5121438620953e-08
BB_0390,4529.09918232976,-0.582295395639083,0.0978739477038967,2.20816213602498e-10,8.781124760926e-08
BB_0240,18585.9115725939,0.658031171681763,0.122584572674668,6.46900018422866e-09,1.9293793049462e-06
BB_0243,32708.4971313731,0.892946678339119,0.167520112864137,9.80320647325584e-09,2.33904506451884e-06
BB_0104,16799.3377920209,-0.455144432061817,0.0889590108762899,2.93026011585122e-08,5.82633386368418e-06
BB_0386,15105.4099910229,-0.474230005399283,0.0964078565889692,6.68682809249e-08,1.07595082818724e-05
BB_F26a,410.338441749576,0.90962789035155,0.188383746912461,7.21509356705612e-08,1.07595082818724e-05
BB_J19,308.696793805179,1.00113714276812,0.215045135811917,1.63139901284486e-07,2.16251002480435e-05
BB_0384,1651.28026191004,0.606090494613052,0.129184886907942,1.93458330527913e-07,2.307957883198e-05
BB_K49,757.821135025314,0.70905644215092,0.156222782967784,3.39158270294088e-07,3.67832560418951e-05
BB_0014,1058.53134687505,0.512123662258079,0.113970527482185,5.81215182086423e-07,5.33376701714695e-05
BB_0629,9531.88790881154,-0.404739737486816,0.0891653924075013,5.65859595373746e-07,5.33376701714695e-05
BB_0344,2715.60386213933,0.426151503060614,0.0949592546814048,7.93732570310487e-07,6.76373540271722e-05
BB_0067,22920.1721307488,-0.303455355162941,0.0690161711227291,1.75988232646654e-06,0.000131221225967162
BB_U04,581.391924543465,0.752065362955007,0.180258026718288,1.74150109363366e-06,0.000131221225967162
BB_0559,9110.55560096004,-0.397432765179857,0.094709500769039,2.50839222568468e-06,0.000176030113249519
BB_0604,2349.64995924379,-0.525247886978088,0.12377145101186,2.74825013063279e-06,0.000182147911435829
BB_0727,10176.1750796997,-0.349293106801762,0.0822654710420777,3.02188120080069e-06,0.000189742330134485
BB_B22,5058.71463061068,-0.350367342352694,0.083343900407198,3.30604883147169e-06,0.000197205812797286
BB_J18,102.101039064113,1.33403131357539,0.343129346422181,4.299177439492e-06,0.000244234223110189
BB_0337,11776.8980818353,-0.460929385524928,0.113750526535591,4.68140640830515e-06,0.000253859902050366
BB_B29,102678.451529058,-0.508774109226101,0.127161855425409,5.00249160960795e-06,0.000259477064794012
BB_0166,879.144520070406,-0.71766037097784,0.183904023494116,5.41798643966035e-06,0.000269319075938117
BB_A69,2709.71422284437,0.449130695255111,0.114182618307688,7.86806796037499e-06,0.000375464203069095
BB_0385,10998.8367745119,0.43020864037698,0.1109975339785,1.08866184764163e-05,0.000463847708655882
BB_0649,68385.686813596,-0.355308027402869,0.0902923387179347,1.06305088529574e-05,0.000463847708655882
BB_0789,27335.5321623063,-0.303091623596756,0.0753547506975697,1.02629803953124e-05,0.000463847708655882
BB_0805,33600.7112389682,-0.3314540096038,0.0819203917739289,1.18574197010754e-05,0.000484530413171289
BB_G33,1453.96216129063,-0.386651340025161,0.0990647758760327,1.21843356204012e-05,0.000484530413171289
BB_0691,16306.4143118244,-0.28166239496024,0.0725725846096443,1.54722110600517e-05,0.0005954305740207
BB_B16,5555.65503107173,-0.38359252209056,0.102025420880862,1.80835524268416e-05,0.000674177438913187
BB_0774,3557.07525062118,-0.300497419899522,0.0796158190750024,2.80827100364122e-05,0.000993259565279196
BB_0841,12442.2265819297,-0.455671127065103,0.130339133166757,2.8307481323967e-05,0.000993259565279196
BB_0387,6267.77724582923,-0.330056399965626,0.0887153268742448,3.36301012311161e-05,0.00112908482076454
BB_0388,55314.2149463865,-0.315016161104887,0.0850514292496482,3.40712938369854e-05,0.00112908482076454
BB_0690,6195.27383627225,-0.384033039574002,0.107328350265276,3.90620084618508e-05,0.00124577759116481
BB_J45,211.79871559131,0.668756684662234,0.197227669896091,3.9681096784797e-05,0.00124577759116481
BB_0407,6290.53063610632,-0.355176723310732,0.0968808513917621,4.16123225779281e-05,0.00127291027783252
BB_0744,16460.3140383853,-0.305219602013259,0.0852179672888855,4.34539316937996e-05,0.00129601351276757
BB_0476,33107.8626942365,-0.279587773073855,0.0758954871393727,4.56604474647323e-05,0.00131200424981811
BB_0530,383.747094288467,0.519789795093671,0.152009245712056,4.61895880070081e-05,0.00131200424981811
BB_0627,1323.32327137944,-0.379563182569738,0.107768080159067,4.86363960650182e-05,0.00134937722105969
BB_0318,2982.08028096794,0.365070702081898,0.102820280423995,5.57926303623571e-05,0.00145873790264763
BB_0405,1803.51378790199,-0.541155444870998,0.161791070582509,5.62463902110569e-05,0.00145873790264763
BB_K47,1630.00080739302,0.39021175591178,0.11168046857123,5.52750080941403e-05,0.00145873790264763
BB_0242,679.144576516805,0.91523094647642,0.284820947637908,5.95461360951021e-05,0.00151145830556291
BB_0057,21890.8826903788,-0.334237336151121,0.0957068304633766,6.42630926177684e-05,0.00159720561443745
BB_0676,1097.74469239862,-0.368448421507179,0.106638544256079,6.99918999805618e-05,0.0016781452593278
BB_F0041,1837.39180428944,0.887988395224019,0.280098572154803,7.03329949424896e-05,0.0016781452593278
BB_0561,4636.59080941578,-0.292044052961402,0.0832255242392178,8.23961458686403e-05,0.00192742356904486
BB_0454,1560.46247665404,-0.408798603154259,0.122859435160746,8.79505304463344e-05,0.00201778813120148
BB_A76,1148.73755134949,0.347020921865994,0.102353734295586,9.30201196899419e-05,0.00209383024132265
BB_P39,2123.24570487651,0.467099213528719,0.145062221812225,0.000105194321525155,0.00230458243157569
BB_L40,2122.83436975548,0.466738459705446,0.145074540615581,0.000106246465831235,0.00230458243157569
BB_0056,21208.5330352775,-0.296948236456507,0.0870950596078794,0.000120293961185136,0.00256269099453334
BB_0392,7307.08223709588,-0.246379980042142,0.0709242761873202,0.000123649441162122,0.0025879611106388
BB_0389,49866.6225535369,-0.279336413235131,0.0806376125827957,0.00012896403429289,0.00261262975520432
BB_0558,26776.9392549008,-0.25498164765271,0.0739844336692985,0.000129208009687389,0.00261262975520432
BB_0317,516.826383736993,0.516670393990877,0.16614061336288,0.000143755918752174,0.00285834685118907
BB_0087,12997.4807735097,-0.262078128305186,0.0774100673284765,0.000154157480896791,0.00292806140491494
BB_0282,487.57274349391,-0.397022401444722,0.124794822923515,0.000152983401791344,0.00292806140491494
BB_0482,2793.97551637437,-0.361212512699368,0.109315049926899,0.000154625204115374,0.00292806140491494
BB_0526,2378.77544568181,-0.267662216773206,0.0796994007825622,0.000165025586373672,0.00307618007099673
BB_0632,431.576222665153,0.51584325125471,0.170713434730521,0.000191451110787299,0.00351386423337304
BB_0179,6824.25867879531,-0.282527697865234,0.0863846086066342,0.000201284831856098,0.00363837582430795
BB_B12,648.45331828338,0.408388473227685,0.133189955620422,0.000208564882991715,0.00371370008073308
BB_0123,8013.61228896906,-0.208765639224552,0.0613902781180603,0.000212976468484125,0.00371741090680777
BB_0137,21318.2753247111,-0.280429584491315,0.0861724684685865,0.000216631893141674,0.00371741090680777
BB_0659,6730.2021110664,-0.250347482233009,0.0755050207390291,0.000218121344070867,0.00371741090680777
BB_0479,10335.5230266525,-0.246109849509061,0.0739490028690074,0.000224506510370365,0.00377234178692741
BB_I19,303.910332172144,0.566818774373723,0.197462353484432,0.000249375522850016,0.00413201387166762
BB_0380,3706.22961869733,0.217795386772615,0.0654073977807979,0.000271052155206845,0.00438045016849457
BB_0478,12651.2919426122,-0.283023523973278,0.0891847005140911,0.000271712751440568,0.00438045016849457
BB_0656,407.934993737248,0.483439842164738,0.165339338118691,0.00027857955904163,0.0044312721858222
BB_0725,1842.54627343478,-0.28922880488969,0.0923977223653026,0.000308617665826595,0.00484448520172536
BB_0214,592.230853490816,-0.44298121349424,0.154044952252337,0.000330042366603846,0.00511351355010895
BB_0781,5597.95055434757,-0.262610052013706,0.0840282497651955,0.000355978858583076,0.00544465100371295
BB_S45,201.310557416341,0.800236521057147,0.304530210422637,0.000365491681389121,0.00551938703667369
BB_O40,2794.78733268634,0.658133118746924,0.241491328495676,0.000377805828243392,0.00563402941367959
BB_B17,7393.77860277152,-0.230230877517725,0.0716952600886585,0.000382552367003694,0.00563438239302971
BB_0245,1375.69193935545,-0.298334362237701,0.0985188392638385,0.000395052752872386,0.00568152921569572
BB_0600,892.511049006339,0.31770001898773,0.105572269029445,0.000395278227076902,0.00568152921569572
BB_0201,3315.7530797628,-0.241313368123412,0.07665369355502,0.000419164104332248,0.00595312829129014
BB_0603,53196.6067673909,-0.345739743968176,0.118238701841441,0.000429057660167044,0.00602195045387392
BB_0742,5067.68203762845,-0.278570868466812,0.0918342743391755,0.000455488810997591,0.00631858315721076
BB_K39,95.0444509656616,0.912502977566238,0.368538388759409,0.000475220759976347,0.00649026838794227
BB_K48,203.013546066598,0.699267113191804,0.272198241927849,0.000478745698356178,0.00649026838794227
BB_0300,11532.5154056413,-0.22274841696139,0.0711037844394055,0.000504162560867303,0.00675804421477182
BB_0802,2027.61468297077,-0.26736894134982,0.0887066583433368,0.000522158369847564,0.00684543884866092
BB_S41,445.3104164075,0.495521461299227,0.185358472722947,0.000518684874875336,0.00684543884866092
BB_0055,9577.32419286341,-0.280559967339623,0.0946902842956001,0.00056781471046489,0.007297683817547
