,baseMean,log2FoldChange,lfcSE,pvalue,padj
BB_0241,40577.397088239,2.83743300693196,0.117957470128255,1.65512273670956e-129,2.34530891791745e-126
BB_0240,18585.9115725939,2.77832424727208,0.119764481923727,5.55494157320592e-120,3.9356761046164e-117
BB_0243,32708.4971313731,3.28370333593501,0.163450795417898,5.95706678949602e-91,2.81372121357195e-88
BB_A07,1133.87941581764,3.0110095370194,0.169076001969719,3.78049808193912e-72,1.33924144552693e-69
BB_0388,55314.2149463865,-1.42833893971953,0.0836452509132076,3.01843979995888e-66,8.55425839308347e-64
BB_0389,49866.6225535369,-1.29297828963653,0.0795051549442577,2.83905838524543e-60,6.70490955315462e-58
BB_M28,609.318100117104,3.24484644203966,0.211288851755159,1.71385383176945e-54,3.46932982802474e-52
BB_0685,1405.27817144923,-1.67170653565563,0.110197750965822,7.10836998014549e-53,1.25907003273327e-50
BB_A65,3785.02337137397,2.91391375601581,0.197184288745463,1.52623732018946e-50,2.40297586967607e-48
BB_S41,445.3104164075,2.53380817062366,0.171931855669879,3.38115976564733e-50,4.79110338792226e-48
BB_0242,679.144576516805,3.93437707910632,0.270303530120522,2.32238204755242e-49,2.99165032852889e-47
BB_0684,3478.95239076137,-1.22175233596332,0.0845587337881283,2.52366242719011e-48,2.98002471610699e-46
BB_0479,10335.5230266525,-1.06506654543822,0.0738478527232247,6.18866934528701e-48,6.74564958636284e-46
BB_O40,2794.78733268634,3.17280613568749,0.221960773200646,1.3954191907432e-47,1.4123635666308e-45
BB_U04,581.391924543465,2.45023927398203,0.171642041695965,1.80716246480701e-47,1.70716614175435e-45
BB_0323,15359.6932498108,0.941081050297809,0.0656839687457351,4.28805428850276e-47,3.79760807925526e-45
BB_A24,656.74287214998,2.85887498657916,0.20646959039395,9.01000317030162e-45,7.51010264253964e-43
BB_A66,29571.9900362246,2.78814237112585,0.204172555989149,3.053078794601e-44,2.40345147330534e-42
BB_0444,7175.27171935587,-1.06281100290447,0.077056836535764,5.57675956836875e-44,4.15908858335711e-42
BB_A62,11475.2023760617,1.09792677227084,0.0808950704152669,2.97121694500469e-42,2.10510720553582e-40
BB_E31,2818.76658628085,3.49928812189223,0.261163673016994,4.41112113621969e-42,2.9764565000111e-40
BB_K32,426.309770290634,2.50791276950602,0.190604041711203,1.07705822831703e-40,6.93723413420559e-39
BB_0613,15967.0610553944,-1.09655516206972,0.0833569539806109,3.2451077842772e-40,1.99926857840035e-38
BB_0837,6069.33085823805,-1.27605477907395,0.0975864392035885,5.40290439841582e-40,3.18996480523134e-38
BB_0390,4529.09918232976,-1.26533317492192,0.0969869338841074,1.06898427754601e-39,6.05900288513077e-38
BB_B09,466.006077679433,2.03236385764862,0.156529119363298,1.36970806711974e-39,7.46490896580259e-38
BB_A30,2038.846492311,1.00021584995938,0.0769641898387315,3.30519345855618e-39,1.7346144928793e-37
BB_0612,7375.3703179844,-0.990130826874438,0.0766999223443036,7.28061804603477e-39,3.68451277543974e-37
BB_0484,12924.8836010064,-0.981354079599288,0.0762767332740862,1.67656650066134e-38,8.19205079805902e-37
BB_A60,859.112119373857,1.31165015948624,0.104168546729408,4.04875585227846e-37,1.91236234755953e-35
BB_0709,1484.41403395528,-1.07578300901832,0.0858482325131553,9.83255816737887e-37,4.49443062037931e-35
BB_A64,6917.48553084612,2.28432712443615,0.183519459927504,1.1941301672269e-36,5.2877576467516e-35
